"Notes"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Certain infectious and parasitic diseases"	"A00-B99"	59984	279040168	21.5
	"1999"	"1999"	"Neoplasms"	"C00-D48"	563065	279040168	201.8
	"1999"	"1999"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9067	279040168	3.2
	"1999"	"1999"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	92872	279040168	33.3
	"1999"	"1999"	"Mental and behavioural disorders"	"F01-F99"	42128	279040168	15.1
	"1999"	"1999"	"Diseases of the nervous system"	"G00-G98"	84077	279040168	30.1
	"1999"	"1999"	"Diseases of the eye and adnexa"	"H00-H57"	44	279040168	0.0
	"1999"	"1999"	"Diseases of the ear and mastoid process"	"H60-H93"	74	279040168	0.0
	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	954339	279040168	342.0
	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	229863	279040168	82.4
	"1999"	"1999"	"Diseases of the digestive system"	"K00-K92"	82876	279040168	29.7
	"1999"	"1999"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3697	279040168	1.3
	"1999"	"1999"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13347	279040168	4.8
	"1999"	"1999"	"Diseases of the genitourinary system"	"N00-N98"	53127	279040168	19.0
	"1999"	"1999"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	406	279040168	0.1
	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	14259	279040168	5.1
	"1999"	"1999"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10393	279040168	3.7
	"1999"	"1999"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	26672	279040168	9.6
	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	151109	279040168	54.2
	"2000"	"2000"	"Certain infectious and parasitic diseases"	"A00-B99"	59007	281421906	21.0
	"2000"	"2000"	"Neoplasms"	"C00-D48"	566637	281421906	201.3
	"2000"	"2000"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9315	281421906	3.3
	"2000"	"2000"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	94345	281421906	33.5
	"2000"	"2000"	"Mental and behavioural disorders"	"F01-F99"	46015	281421906	16.4
	"2000"	"2000"	"Diseases of the nervous system"	"G00-G98"	91014	281421906	32.3
	"2000"	"2000"	"Diseases of the eye and adnexa"	"H00-H57"	59	281421906	0.0
	"2000"	"2000"	"Diseases of the ear and mastoid process"	"H60-H93"	67	281421906	0.0
	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	941526	281421906	334.6
	"2000"	"2000"	"Diseases of the respiratory system"	"J00-J98"	231079	281421906	82.1
	"2000"	"2000"	"Diseases of the digestive system"	"K00-K92"	84015	281421906	29.9
	"2000"	"2000"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3753	281421906	1.3
	"2000"	"2000"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13764	281421906	4.9
	"2000"	"2000"	"Diseases of the genitourinary system"	"N00-N98"	54560	281421906	19.4
	"2000"	"2000"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	404	281421906	0.1
	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	14069	281421906	5.0
	"2000"	"2000"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10578	281421906	3.8
	"2000"	"2000"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	31876	281421906	11.3
	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	151268	281421906	53.8
	"2001"	"2001"	"Certain infectious and parasitic diseases"	"A00-B99"	60336	284968955	21.2
	"2001"	"2001"	"Neoplasms"	"C00-D48"	567444	284968955	199.1
	"2001"	"2001"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9535	284968955	3.3
	"2001"	"2001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	96820	284968955	34.0
	"2001"	"2001"	"Mental and behavioural disorders"	"F01-F99"	50811	284968955	17.8
	"2001"	"2001"	"Diseases of the nervous system"	"G00-G98"	96524	284968955	33.9
	"2001"	"2001"	"Diseases of the eye and adnexa"	"H00-H57"	37	284968955	0.0
	"2001"	"2001"	"Diseases of the ear and mastoid process"	"H60-H93"	75	284968955	0.0
	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	926999	284968955	325.3
	"2001"	"2001"	"Diseases of the respiratory system"	"J00-J98"	230009	284968955	80.7
	"2001"	"2001"	"Diseases of the digestive system"	"K00-K92"	85833	284968955	30.1
	"2001"	"2001"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3749	284968955	1.3
	"2001"	"2001"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14057	284968955	4.9
	"2001"	"2001"	"Diseases of the genitourinary system"	"N00-N98"	57026	284968955	20.0
	"2001"	"2001"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	416	284968955	0.1
	"2001"	"2001"	"Certain conditions originating in the perinatal period"	"P00-P96"	13887	284968955	4.9
	"2001"	"2001"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10442	284968955	3.7
	"2001"	"2001"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	32326	284968955	11.3
	"2001"	"2001"	"Codes for special purposes"	"U00-U99"	2926	284968955	1.0
	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	157173	284968955	55.2
	"2002"	"2002"	"Certain infectious and parasitic diseases"	"A00-B99"	63981	287625193	22.2
	"2002"	"2002"	"Neoplasms"	"C00-D48"	570570	287625193	198.4
	"2002"	"2002"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9661	287625193	3.4
	"2002"	"2002"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	99458	287625193	34.6
	"2002"	"2002"	"Mental and behavioural disorders"	"F01-F99"	55788	287625193	19.4
	"2002"	"2002"	"Diseases of the nervous system"	"G00-G98"	103064	287625193	35.8
	"2002"	"2002"	"Diseases of the eye and adnexa"	"H00-H57"	40	287625193	0.0
	"2002"	"2002"	"Diseases of the ear and mastoid process"	"H60-H93"	69	287625193	0.0
	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	923339	287625193	321.0
	"2002"	"2002"	"Diseases of the respiratory system"	"J00-J98"	234629	287625193	81.6
	"2002"	"2002"	"Diseases of the digestive system"	"K00-K92"	86710	287625193	30.1
	"2002"	"2002"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3937	287625193	1.4
	"2002"	"2002"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14400	287625193	5.0
	"2002"	"2002"	"Diseases of the genitourinary system"	"N00-N98"	58334	287625193	20.3
	"2002"	"2002"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	379	287625193	0.1
	"2002"	"2002"	"Certain conditions originating in the perinatal period"	"P00-P96"	14254	287625193	5.0
	"2002"	"2002"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10687	287625193	3.7
	"2002"	"2002"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	29975	287625193	10.4
	"2002"	"2002"	"Codes for special purposes"	"U00-U99"	1	287625193	Unreliable
	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	164111	287625193	57.1
	"2003"	"2003"	"Certain infectious and parasitic diseases"	"A00-B99"	64661	290107933	22.3
	"2003"	"2003"	"Neoplasms"	"C00-D48"	570465	290107933	196.6
	"2003"	"2003"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9585	290107933	3.3
	"2003"	"2003"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	100443	290107933	34.6
	"2003"	"2003"	"Mental and behavioural disorders"	"F01-F99"	60058	290107933	20.7
	"2003"	"2003"	"Diseases of the nervous system"	"G00-G98"	109640	290107933	37.8
	"2003"	"2003"	"Diseases of the eye and adnexa"	"H00-H57"	41	290107933	0.0
	"2003"	"2003"	"Diseases of the ear and mastoid process"	"H60-H93"	72	290107933	0.0
	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	907180	290107933	312.7
	"2003"	"2003"	"Diseases of the respiratory system"	"J00-J98"	235935	290107933	81.3
	"2003"	"2003"	"Diseases of the digestive system"	"K00-K92"	87764	290107933	30.3
	"2003"	"2003"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4132	290107933	1.4
	"2003"	"2003"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14489	290107933	5.0
	"2003"	"2003"	"Diseases of the genitourinary system"	"N00-N98"	60081	290107933	20.7
	"2003"	"2003"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	545	290107933	0.2
	"2003"	"2003"	"Certain conditions originating in the perinatal period"	"P00-P96"	14378	290107933	5.0
	"2003"	"2003"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10518	290107933	3.6
	"2003"	"2003"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	31444	290107933	10.8
	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	166857	290107933	57.5
	"2004"	"2004"	"Certain infectious and parasitic diseases"	"A00-B99"	64618	292805298	22.1
	"2004"	"2004"	"Neoplasms"	"C00-D48"	567468	292805298	193.8
	"2004"	"2004"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9424	292805298	3.2
	"2004"	"2004"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	99042	292805298	33.8
	"2004"	"2004"	"Mental and behavioural disorders"	"F01-F99"	61524	292805298	21.0
	"2004"	"2004"	"Diseases of the nervous system"	"G00-G98"	111751	292805298	38.2
	"2004"	"2004"	"Diseases of the eye and adnexa"	"H00-H57"	43	292805298	0.0
	"2004"	"2004"	"Diseases of the ear and mastoid process"	"H60-H93"	61	292805298	0.0
	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	865863	292805298	295.7
	"2004"	"2004"	"Diseases of the respiratory system"	"J00-J98"	227093	292805298	77.6
	"2004"	"2004"	"Diseases of the digestive system"	"K00-K92"	86337	292805298	29.5
	"2004"	"2004"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4180	292805298	1.4
	"2004"	"2004"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14284	292805298	4.9
	"2004"	"2004"	"Diseases of the genitourinary system"	"N00-N98"	60326	292805298	20.6
	"2004"	"2004"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	697	292805298	0.2
	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	14213	292805298	4.9
	"2004"	"2004"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10498	292805298	3.6
	"2004"	"2004"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	30126	292805298	10.3
	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	170067	292805298	58.1
	"2005"	"2005"	"Certain infectious and parasitic diseases"	"A00-B99"	66507	295516599	22.5
	"2005"	"2005"	"Neoplasms"	"C00-D48"	573022	295516599	193.9
	"2005"	"2005"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	9591	295516599	3.2
	"2005"	"2005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	103152	295516599	34.9
	"2005"	"2005"	"Mental and behavioural disorders"	"F01-F99"	71466	295516599	24.2
	"2005"	"2005"	"Diseases of the nervous system"	"G00-G98"	120713	295516599	40.8
	"2005"	"2005"	"Diseases of the eye and adnexa"	"H00-H57"	45	295516599	0.0
	"2005"	"2005"	"Diseases of the ear and mastoid process"	"H60-H93"	58	295516599	0.0
	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	860843	295516599	291.3
	"2005"	"2005"	"Diseases of the respiratory system"	"J00-J98"	239680	295516599	81.1
	"2005"	"2005"	"Diseases of the digestive system"	"K00-K92"	87391	295516599	29.6
	"2005"	"2005"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	4234	295516599	1.4
	"2005"	"2005"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	14418	295516599	4.9
	"2005"	"2005"	"Diseases of the genitourinary system"	"N00-N98"	62773	295516599	21.2
	"2005"	"2005"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	760	295516599	0.3
	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	14549	295516599	4.9
	"2005"	"2005"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	10410	295516599	3.5
	"2005"	"2005"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	31999	295516599	10.8
	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	176406	295516599	59.7
	"2006"	"2006"	"Certain infectious and parasitic diseases"	"A00-B99"	66993	298379912	22.5
	"2006"	"2006"	"Neoplasms"	"C00-D48"	574010	298379912	192.4
	"2006"	"2006"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	8834	298379912	3.0
	"2006"	"2006"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	99204	298379912	33.2
	"2006"	"2006"	"Mental and behavioural disorders"	"F01-F99"	91761	298379912	30.8
	"2006"	"2006"	"Diseases of the nervous system"	"G00-G98"	122965	298379912	41.2
	"2006"	"2006"	"Diseases of the eye and adnexa"	"H00-H57"	51	298379912	0.0
	"2006"	"2006"	"Diseases of the ear and mastoid process"	"H60-H93"	62	298379912	0.0
	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	827741	298379912	277.4
	"2006"	"2006"	"Diseases of the respiratory system"	"J00-J98"	226661	298379912	76.0
	"2006"	"2006"	"Diseases of the digestive system"	"K00-K92"	87607	298379912	29.4
	"2006"	"2006"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	3862	298379912	1.3
	"2006"	"2006"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	13930	298379912	4.7
	"2006"	"2006"	"Diseases of the genitourinary system"	"N00-N98"	63581	298379912	21.3
	"2006"	"2006"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	760	298379912	0.3
	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	14442	298379912	4.8
