"Notes"	"Year"	"Year Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"#Salmonella infections (A01-A02)"	"GR113-001"	38	279040168	0.0
	"1999"	"1999"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	10	279040168	Unreliable
	"1999"	"1999"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	1108	279040168	0.4
	"1999"	"1999"	"#Tuberculosis (A16-A19)"	"GR113-004"	930	279040168	0.3
	"1999"	"1999"	"Respiratory tuberculosis (A16)"	"GR113-005"	764	279040168	0.3
	"1999"	"1999"	"Other tuberculosis (A17-A19)"	"GR113-006"	166	279040168	0.1
	"1999"	"1999"	"#Whooping cough (A37)"	"GR113-007"	7	279040168	Unreliable
	"1999"	"1999"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	5	279040168	Unreliable
	"1999"	"1999"	"#Meningococcal infection (A39)"	"GR113-009"	227	279040168	0.1
	"1999"	"1999"	"#Septicemia (A40-A41)"	"GR113-010"	30680	279040168	11.0
	"1999"	"1999"	"#Syphilis (A50-A53)"	"GR113-011"	33	279040168	0.0
	"1999"	"1999"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	3	279040168	Unreliable
	"1999"	"1999"	"#Measles (B05)"	"GR113-014"	2	279040168	Unreliable
	"1999"	"1999"	"#Viral hepatitis (B15-B19)"	"GR113-015"	4853	279040168	1.7
	"1999"	"1999"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	14802	279040168	5.3
	"1999"	"1999"	"#Malaria (B50-B54)"	"GR113-017"	7	279040168	Unreliable
	"1999"	"1999"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	7279	279040168	2.6
	"1999"	"1999"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	549838	279040168	197.0
	"1999"	"1999"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	7486	279040168	2.7
	"1999"	"1999"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	11918	279040168	4.3
	"1999"	"1999"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	12711	279040168	4.6
	"1999"	"1999"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	57155	279040168	20.5
	"1999"	"1999"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	12382	279040168	4.4
	"1999"	"1999"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	29082	279040168	10.4
	"1999"	"1999"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	3815	279040168	1.4
	"1999"	"1999"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	152156	279040168	54.5
	"1999"	"1999"	"Malignant melanoma of skin (C43)"	"GR113-028"	7215	279040168	2.6
	"1999"	"1999"	"Malignant neoplasm of breast (C50)"	"GR113-029"	41528	279040168	14.9
	"1999"	"1999"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	4205	279040168	1.5
	"1999"	"1999"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	6468	279040168	2.3
	"1999"	"1999"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	13627	279040168	4.9
	"1999"	"1999"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	31729	279040168	11.4
	"1999"	"1999"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11116	279040168	4.0
	"1999"	"1999"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	11911	279040168	4.3
	"1999"	"1999"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	12765	279040168	4.6
	"1999"	"1999"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	56318	279040168	20.2
	"1999"	"1999"	"Hodgkin disease (C81)"	"GR113-038"	1403	279040168	0.5
	"1999"	"1999"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	22802	279040168	8.2
	"1999"	"1999"	"Leukemia (C91-C95)"	"GR113-040"	21014	279040168	7.5
	"1999"	"1999"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	11016	279040168	3.9
	"1999"	"1999"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	83	279040168	0.0
	"1999"	"1999"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	66251	279040168	23.7
	"1999"	"1999"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	13227	279040168	4.7
	"1999"	"1999"	"#Anemias (D50-D64)"	"GR113-045"	4503	279040168	1.6
	"1999"	"1999"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	68399	279040168	24.5
	"1999"	"1999"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	4289	279040168	1.5
	"1999"	"1999"	"Malnutrition (E40-E46)"	"GR113-048"	3985	279040168	1.4
	"1999"	"1999"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	304	279040168	0.1
	"1999"	"1999"	"#Meningitis (G00,G03)"	"GR113-050"	850	279040168	0.3
	"1999"	"1999"	"#Parkinson disease (G20-G21)"	"GR113-051"	14593	279040168	5.2
	"1999"	"1999"	"#Alzheimer disease (G30)"	"GR113-052"	44536	279040168	16.0
	"1999"	"1999"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	950314	279040168	340.6
	"1999"	"1999"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	725192	279040168	259.9
	"1999"	"1999"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	3676	279040168	1.3
	"1999"	"1999"	"Hypertensive heart disease (I11)"	"GR113-056"	22702	279040168	8.1
	"1999"	"1999"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	3327	279040168	1.2
	"1999"	"1999"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	529659	279040168	189.8
	"1999"	"1999"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	199454	279040168	71.5
	"1999"	"1999"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	3232	279040168	1.2
	"1999"	"1999"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	326973	279040168	117.2
	"1999"	"1999"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	71926	279040168	25.8
	"1999"	"1999"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	255047	279040168	91.4
	"1999"	"1999"	"Other heart diseases (I26-I51)"	"GR113-064"	165828	279040168	59.4
	"1999"	"1999"	"Acute and subacute endocarditis (I33)"	"GR113-065"	1116	279040168	0.4
	"1999"	"1999"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	890	279040168	0.3
	"1999"	"1999"	"Heart failure (I50)"	"GR113-067"	54913	279040168	19.7
	"1999"	"1999"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	108909	279040168	39.0
	"1999"	"1999"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	16968	279040168	6.1
	"1999"	"1999"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	167366	279040168	60.0
	"1999"	"1999"	"#Atherosclerosis (I70)"	"GR113-071"	14979	279040168	5.4
	"1999"	"1999"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	25809	279040168	9.2
	"1999"	"1999"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	15807	279040168	5.7
	"1999"	"1999"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	10002	279040168	3.6
	"1999"	"1999"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	4025	279040168	1.4
	"1999"	"1999"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	63730	279040168	22.8
	"1999"	"1999"	"Influenza (J09-J11)"	"GR113-077"	1665	279040168	0.6
	"1999"	"1999"	"Pneumonia (J12-J18)"	"GR113-078"	62065	279040168	22.2
	"1999"	"1999"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	540	279040168	0.2
	"1999"	"1999"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	388	279040168	0.1
	"1999"	"1999"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	152	279040168	0.1
	"1999"	"1999"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	124181	279040168	44.5
	"1999"	"1999"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	1172	279040168	0.4
	"1999"	"1999"	"Emphysema (J43)"	"GR113-084"	17787	279040168	6.4
	"1999"	"1999"	"Asthma (J45-J46)"	"GR113-085"	4657	279040168	1.7
	"1999"	"1999"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	100565	279040168	36.0
	"1999"	"1999"	"#Pneumoconioses and chemical effects (J60-J66,J68)"	"GR113-087"	1113	279040168	0.4
	"1999"	"1999"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	15268	279040168	5.5
	"1999"	"1999"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	25031	279040168	9.0
	"1999"	"1999"	"#Peptic ulcer (K25-K28)"	"GR113-090"	4604	279040168	1.6
	"1999"	"1999"	"#Diseases of appendix (K35-K38)"	"GR113-091"	390	279040168	0.1
	"1999"	"1999"	"#Hernia (K40-K46)"	"GR113-092"	1464	279040168	0.5
	"1999"	"1999"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	26259	279040168	9.4
	"1999"	"1999"	"Alcoholic liver disease (K70)"	"GR113-094"	11958	279040168	4.3
	"1999"	"1999"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	14301	279040168	5.1
	"1999"	"1999"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	2830	279040168	1.0
	"1999"	"1999"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	35525	279040168	12.7
	"1999"	"1999"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	182	279040168	0.1
	"1999"	"1999"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	589	279040168	0.2
	"1999"	"1999"	"Renal failure (N17-N19)"	"GR113-100"	34719	279040168	12.4
	"1999"	"1999"	"Other disorders of kidney (N25,N27)"	"GR113-101"	35	279040168	0.0
	"1999"	"1999"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	846	279040168	0.3
	"1999"	"1999"	"#Hyperplasia of prostate (N40)"	"GR113-103"	430	279040168	0.2
	"1999"	"1999"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	108	279040168	0.0
	"1999"	"1999"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	406	279040168	0.1
	"1999"	"1999"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	31	279040168	0.0
	"1999"	"1999"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	375	279040168	0.1
	"1999"	"1999"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	14259	279040168	5.1
	"1999"	"1999"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	10393	279040168	3.7
	"1999"	"1999"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	26672	279040168	9.6
	"1999"	"1999"	"All other diseases (Residual) "	"GR113-111"	171683	279040168	61.5
	"1999"	"1999"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	97860	279040168	35.1
	"1999"	"1999"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	46423	279040168	16.6
	"1999"	"1999"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	42401	279040168	15.2
	"1999"	"1999"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	2118	279040168	0.8
	"1999"	"1999"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	1904	279040168	0.7
	"1999"	"1999"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	51437	279040168	18.4
	"1999"	"1999"	"Falls (W00-W19)"	"GR113-118"	13162	279040168	4.7
	"1999"	"1999"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	824	279040168	0.3
	"1999"	"1999"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	3529	279040168	1.3
	"1999"	"1999"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	3348	279040168	1.2
	"1999"	"1999"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	12186	279040168	4.4
	"1999"	"1999"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	18388	279040168	6.6
	"1999"	"1999"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	29199	279040168	10.5
	"1999"	"1999"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	16599	279040168	5.9
	"1999"	"1999"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	12600	279040168	4.5
	"1999"	"1999"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	16889	279040168	6.1
	"1999"	"1999"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	10828	279040168	3.9
