"Notes"	"Year"	"Year Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Intestinal infectious diseases"	"A00-A09"	1169	279040168	0.4
	"1999"	"1999"	"Tuberculosis"	"A16-A19"	930	279040168	0.3
	"1999"	"1999"	"Certain zoonotic bacterial diseases"	"A20-A28"	5	279040168	Unreliable
	"1999"	"1999"	"Other bacterial diseases"	"A30-A49"	32709	279040168	11.7
	"1999"	"1999"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	47	279040168	0.0
	"1999"	"1999"	"Other spirochaetal diseases"	"A65-A69"	9	279040168	Unreliable
	"1999"	"1999"	"Other diseases caused by chlamydiae"	"A70-A74"	2	279040168	Unreliable
	"1999"	"1999"	"Rickettsioses"	"A75-A79"	9	279040168	Unreliable
	"1999"	"1999"	"Viral infections of the central nervous system"	"A80-A89"	440	279040168	0.2
	"1999"	"1999"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	2	279040168	Unreliable
	"1999"	"1999"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	347	279040168	0.1
	"1999"	"1999"	"Viral hepatitis"	"B15-B19"	4853	279040168	1.7
	"1999"	"1999"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	14802	279040168	5.3
	"1999"	"1999"	"Other viral diseases"	"B25-B34"	636	279040168	0.2
	"1999"	"1999"	"Mycoses"	"B35-B49"	1845	279040168	0.7
	"1999"	"1999"	"Protozoal diseases"	"B50-B64"	289	279040168	0.1
	"1999"	"1999"	"Helminthiases"	"B65-B83"	14	279040168	Unreliable
	"1999"	"1999"	"Pediculosis, acariasis and other infestations"	"B85-B89"	3	279040168	Unreliable
	"1999"	"1999"	"Sequelae of infectious and parasitic diseases"	"B90-B94"	1781	279040168	0.6
	"1999"	"1999"	"Other infectious diseases"	"B99-B99"	92	279040168	0.0
	"1999"	"1999"	"Malignant neoplasms"	"C00-C97"	549838	279040168	197.0
	"1999"	"1999"	"In situ neoplasms"	"D00-D09"	19	279040168	Unreliable
	"1999"	"1999"	"Benign neoplasms"	"D10-D36"	1537	279040168	0.6
	"1999"	"1999"	"Neoplasms of uncertain or unknown behaviour"	"D37-D48"	11671	279040168	4.2
	"1999"	"1999"	"Nutritional anaemias"	"D50-D53"	287	279040168	0.1
	"1999"	"1999"	"Haemolytic anaemias"	"D55-D59"	866	279040168	0.3
	"1999"	"1999"	"Aplastic and other anaemias"	"D60-D64"	3350	279040168	1.2
	"1999"	"1999"	"Coagulation defects, purpura and other haemorrhagic conditions"	"D65-D69"	2601	279040168	0.9
	"1999"	"1999"	"Other diseases of blood and blood-forming organs"	"D70-D76"	806	279040168	0.3
	"1999"	"1999"	"Certain disorders involving the immune mechanism"	"D80-D89"	1157	279040168	0.4
	"1999"	"1999"	"Disorders of thyroid gland"	"E00-E07"	1811	279040168	0.6
	"1999"	"1999"	"Diabetes mellitus"	"E10-E14"	68399	279040168	24.5
	"1999"	"1999"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	224	279040168	0.1
	"1999"	"1999"	"Disorders of other endocrine glands"	"E20-E34"	675	279040168	0.2
	"1999"	"1999"	"Malnutrition"	"E40-E46"	3985	279040168	1.4
	"1999"	"1999"	"Other nutritional deficiencies"	"E50-E64"	304	279040168	0.1
	"1999"	"1999"	"Obesity and other hyperalimentation"	"E65-E68"	2600	279040168	0.9
	"1999"	"1999"	"Metabolic disorders"	"E70-E88"	14874	279040168	5.3
	"1999"	"1999"	"Organic, including symptomatic, mental disorders"	"F01-F09"	31164	279040168	11.2
	"1999"	"1999"	"Mental and behavioural disorders due to psychoactive substance use"	"F10-F19"	8619	279040168	3.1
	"1999"	"1999"	"Schizophrenia, schizotypal and delusional disorders"	"F20-F29"	557	279040168	0.2
	"1999"	"1999"	"Mood [affective] disorders"	"F30-F39"	850	279040168	0.3
	"1999"	"1999"	"Neurotic, stress-related and somatoform disorders"	"F40-F48"	97	279040168	0.0
	"1999"	"1999"	"Behavioural syndromes associated with physiological disturbances and physical factors"	"F50-F59"	349	279040168	0.1
	"1999"	"1999"	"Disorders of adult personality and behaviour"	"F60-F69"	5	279040168	Unreliable
	"1999"	"1999"	"Mental retardation"	"F70-F79"	447	279040168	0.2
	"1999"	"1999"	"Disorders of psychological development"	"F80-F89"	16	279040168	Unreliable
	"1999"	"1999"	"Behavioural and emotional disorders with onset usually occurring in childhood and adolescence"	"F90-F98"	9	279040168	Unreliable
	"1999"	"1999"	"Unspecified mental disorder"	"F99-F99"	15	279040168	Unreliable
	"1999"	"1999"	"Inflammatory diseases of the central nervous system"	"G00-G09"	1418	279040168	0.5
	"1999"	"1999"	"Systemic atrophies primarily affecting the central nervous system"	"G10-G14"	6026	279040168	2.2
	"1999"	"1999"	"Extrapyramidal and movement disorders"	"G20-G25"	14872	279040168	5.3
	"1999"	"1999"	"Other degenerative diseases of the nervous system"	"G30-G31"	45677	279040168	16.4
	"1999"	"1999"	"Demyelinating diseases of the central nervous system"	"G35-G37"	2762	279040168	1.0
	"1999"	"1999"	"Episodic and paroxysmal disorders"	"G40-G47"	2005	279040168	0.7
	"1999"	"1999"	"Nerve, nerve root and plexus disorders"	"G50-G58"	58	279040168	0.0
	"1999"	"1999"	"Polyneuropathies and other disorders of the peripheral nervous system"	"G60-G64"	593	279040168	0.2
	"1999"	"1999"	"Diseases of myoneural junction and muscle"	"G70-G72"	1740	279040168	0.6
	"1999"	"1999"	"Cerebral palsy and other paralytic syndromes"	"G80-G83"	2082	279040168	0.7
	"1999"	"1999"	"Other disorders of the nervous system"	"G90-G98"	6844	279040168	2.5
	"1999"	"1999"	"Disorders of eyelid, lacrimal system and orbit"	"H00-H05"	6	279040168	Unreliable
	"1999"	"1999"	"Disorders of sclera, cornea, iris and ciliary body"	"H15-H21"	2	279040168	Unreliable
	"1999"	"1999"	"Disorders of lens"	"H25-H27"	1	279040168	Unreliable
	"1999"	"1999"	"Disorders of choroid and retina"	"H30-H35"	4	279040168	Unreliable
	"1999"	"1999"	"Glaucoma"	"H40-H40"	11	279040168	Unreliable
	"1999"	"1999"	"Disorders of vitreous body and globe"	"H43-H44"	7	279040168	Unreliable
	"1999"	"1999"	"Disorders of optic nerve and visual pathways"	"H46-H47"	1	279040168	Unreliable
	"1999"	"1999"	"Disorders of ocular muscles, binocular movement, accommodation and refraction"	"H49-H52"	1	279040168	Unreliable
	"1999"	"1999"	"Visual disturbances and blindness"	"H53-H54"	10	279040168	Unreliable
	"1999"	"1999"	"Other disorders of eye and adnexa"	"H55-H57"	1	279040168	Unreliable
	"1999"	"1999"	"Diseases of external ear"	"H60-H61"	2	279040168	Unreliable
	"1999"	"1999"	"Diseases of middle ear and mastoid"	"H65-H74"	70	279040168	0.0
	"1999"	"1999"	"Other disorders of ear"	"H90-H93"	2	279040168	Unreliable
	"1999"	"1999"	"Acute rheumatic fever"	"I00-I02"	30	279040168	0.0
	"1999"	"1999"	"Chronic rheumatic heart diseases"	"I05-I09"	3646	279040168	1.3
	"1999"	"1999"	"Hypertensive diseases"	"I10-I15"	42997	279040168	15.4
	"1999"	"1999"	"Ischaemic heart diseases"	"I20-I25"	529659	279040168	189.8
	"1999"	"1999"	"Pulmonary heart disease and diseases of pulmonary circulation"	"I26-I28"	13244	279040168	4.7
	"1999"	"1999"	"Other forms of heart disease"	"I30-I51"	152584	279040168	54.7
	"1999"	"1999"	"Cerebrovascular diseases"	"I60-I69"	167366	279040168	60.0
	"1999"	"1999"	"Diseases of arteries, arterioles and capillaries"	"I70-I78"	40788	279040168	14.6
	"1999"	"1999"	"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"	"I80-I89"	3299	279040168	1.2
	"1999"	"1999"	"Other and unspecified disorders of the circulatory system"	"I95-I99"	726	279040168	0.3
	"1999"	"1999"	"Acute upper respiratory infections"	"J00-J06"	212	279040168	0.1
	"1999"	"1999"	"Influenza and pneumonia"	"J09-J18"	63730	279040168	22.8
	"1999"	"1999"	"Other acute lower respiratory infections"	"J20-J22"	540	279040168	0.2
	"1999"	"1999"	"Other diseases of upper respiratory tract"	"J30-J39"	449	279040168	0.2
	"1999"	"1999"	"Chronic lower respiratory diseases"	"J40-J47"	124181	279040168	44.5
	"1999"	"1999"	"Lung diseases due to external agents"	"J60-J70"	16471	279040168	5.9
	"1999"	"1999"	"Other respiratory diseases principally affecting the interstitium"	"J80-J84"	14441	279040168	5.2
	"1999"	"1999"	"Suppurative and necrotic conditions of lower respiratory tract"	"J85-J86"	799	279040168	0.3
	"1999"	"1999"	"Other diseases of pleura"	"J90-J94"	1294	279040168	0.5
	"1999"	"1999"	"Other diseases of the respiratory system"	"J96-J98"	7746	279040168	2.8
	"1999"	"1999"	"Diseases of oral cavity, salivary glands and jaws"	"K00-K14"	121	279040168	0.0
	"1999"	"1999"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	7725	279040168	2.8
	"1999"	"1999"	"Diseases of appendix"	"K35-K38"	390	279040168	0.1
	"1999"	"1999"	"Hernia"	"K40-K46"	1464	279040168	0.5
	"1999"	"1999"	"Noninfective enteritis and colitis"	"K50-K52"	2188	279040168	0.8
	"1999"	"1999"	"Other diseases of intestines"	"K55-K63"	20438	279040168	7.3
	"1999"	"1999"	"Diseases of peritoneum"	"K65-K66"	1894	279040168	0.7
	"1999"	"1999"	"Diseases of liver"	"K70-K76"	33619	279040168	12.0
	"1999"	"1999"	"Disorders of gallbladder, biliary tract and pancreas"	"K80-K86"	7277	279040168	2.6
	"1999"	"1999"	"Other diseases of the digestive system"	"K90-K92"	7760	279040168	2.8
	"1999"	"1999"	"Infections of the skin and subcutaneous tissue"	"L00-L08"	983	279040168	0.4
	"1999"	"1999"	"Bullous disorders"	"L10-L13"	122	279040168	0.0
	"1999"	"1999"	"Dermatitis and eczema"	"L20-L30"	30	279040168	0.0
	"1999"	"1999"	"Papulosquamous disorders"	"L40-L44"	25	279040168	0.0
	"1999"	"1999"	"Urticaria and erythema"	"L50-L53"	140	279040168	0.1
	"1999"	"1999"	"Radiation-related disorders of the skin and subcutaneous tissue"	"L55-L59"	1	279040168	Unreliable
	"1999"	"1999"	"Disorders of skin appendages"	"L60-L75"	6	279040168	Unreliable
	"1999"	"1999"	"Other disorders of the skin and subcutaneous tissue"	"L80-L98"	2390	279040168	0.9
	"1999"	"1999"	"Arthropathies"	"M00-M25"	4259	279040168	1.5
	"1999"	"1999"	"Systemic connective tissue disorders"	"M30-M35"	4478	279040168	1.6
	"1999"	"1999"	"Dorsopathies"	"M40-M54"	787	279040168	0.3
	"1999"	"1999"	"Soft tissue disorders"	"M60-M79"	956	279040168	0.3
	"1999"	"1999"	"Osteopathies and chondropathies"	"M80-M94"	2860	279040168	1.0
	"1999"	"1999"	"Other disorders of the musculoskeletal system and connective tissue"	"M95-M99"	7	279040168	Unreliable
	"1999"	"1999"	"Glomerular diseases"	"N00-N07"	716	279040168	0.3
	"1999"	"1999"	"Renal tubulo-interstitial diseases"	"N10-N15"	1360	279040168	0.5
	"1999"	"1999"	"Renal failure"	"N17-N19"	34719	279040168	12.4
	"1999"	"1999"	"Urolithiasis"	"N20-N23"	235	279040168	0.1
	"1999"	"1999"	"Other disorders of kidney and ureter"	"N25-N28"	612	279040168	0.2
	"1999"	"1999"	"Other diseases of urinary system"	"N30-N39"	14547	279040168	5.2
	"1999"	"1999"	"Diseases of male genital organs"	"N40-N50"	590	279040168	0.2
	"1999"	"1999"	"Disorders of breast"	"N60-N64"	41	279040168	0.0
	"1999"	"1999"	"Inflammatory diseases of female pelvic organs"	"N70-N76"	108	279040168	0.0
	"1999"	"1999"	"Noninflammatory disorders of female genital tract"	"N80-N98"	199	279040168	0.1
	"1999"	"1999"	"Pregnancy with abortive outcome"	"O00-O07"	31	279040168	0.0
	"1999"	"1999"	"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"	"O10-O16"	94	279040168	0.0
	"1999"	"1999"	"Other maternal disorders predominantly related to pregnancy"	"O20-O29"	29	279040168	0.0
	"1999"	"1999"	"Maternal care related to the fetus and amniotic cavity and possible delivery problems"	"O30-O48"	41	279040168	0.0
	"1999"	"1999"	"Complications of labour and delivery"	"O60-O75"	60	279040168	0.0
	"1999"	"1999"	"Complications predominantly related to the puerperium"	"O85-O92"	84	279040168	0.0
	"1999"	"1999"	"Other obstetric conditions, not elsewhere classified"	"O95-O99"	67	279040168	0.0
	"1999"	"1999"	"Newborn affected by maternal factors and by complications of pregnancy, labour and delivery"	"P00-P04"	2750	279040168	1.0
	"1999"	"1999"	"Disorders related to length of gestation and fetal growth"	"P05-P08"	4461	279040168	1.6
	"1999"	"1999"	"Birth trauma"	"P10-P15"	30	279040168	0.0
	"1999"	"1999"	"Respiratory and cardiovascular disorders specific to the perinatal period"	"P20-P29"	4591	279040168	1.6
	"1999"	"1999"	"Infections specific to the perinatal period"	"P35-P39"	900	279040168	0.3
	"1999"	"1999"	"Haemorrhagic and haematological disorders of newborn"	"P50-P61"	620	279040168	0.2
	"1999"	"1999"	"Transitory endocrine and metabolic disorders specific to newborn"	"P70-P74"	29	279040168	0.0
	"1999"	"1999"	"Digestive system disorders of newborn"	"P76-P78"	479	279040168	0.2
	"1999"	"1999"	"Conditions involving the integument and temperature regulation of newborn"	"P80-P83"	206	279040168	0.1
	"1999"	"1999"	"Other disorders originating in the perinatal period"	"P90-P96"	193	279040168	0.1
	"1999"	"1999"	"Congenital malformations of the nervous system"	"Q00-Q07"	1176	279040168	0.4
	"1999"	"1999"	"Congenital malformations of eye, ear, face and neck"	"Q10-Q18"	4	279040168	Unreliable
